You have read and accepted the statement above,Are you a Software Engineer?,How many years of experience do you have?,What is your current position?,What is your current work setup?,"If you work Hybrid, how often do you work from home currently?",What was your pre-pandemic (covid 19) work setup (If applicable) ,"If applicable: On average, how many hours do you work per day Onsite ?","If applicable: On average, how many hours do you work per day Remotely?","If applicable: How many work-related tasks do you complete on an average day Onsite? This can be coding tasks, meetings, design etc. ","If applicable: How many work-related tasks do you complete on an average day Remotely? This can be coding tasks, meetings, design etc. ",How frequently do you experience technical issues that impact your productivity when working remotely?,"On a scale of 1 (much less) to 5 (much more), rate the level of support you receive from your company while working remotely.","On a scale from 1 (much less productive) to 5 (much more productive), how do you rate your productivity working remotely compared to onsite? ","On a scale from 1 (very dissatisfied) to 5 (very satisfied), how satisfied are you with your current remote work arrangement? ",Working remotely means that there are more distractions to deal with 
Agree,Yes,1-May,Graduate Developer,Fully Remote,One day a week,Fully Remote,7,7.5,4,6,Rarely,4,5,4,FALSE
Agree,Yes,1-May,Graduate Developer,Hybrid,Two or three days a week,Fully Onsite,6,6,.,.,Rarely,4,5,4,TRUE
Agree,Yes,6-Oct,Senior Developer,Hybrid,Two or three days a week,Fully Onsite,7,7,3,5,Sometimes,4,5,5,FALSE
Agree,Yes,1-May,Graduate Developer,Fully Remote,four to five days a week,Fully Onsite,7,7,6,6,Sometimes,3,4,5,FALSE
Agree,Yes,1-May,Graduate Developer,Hybrid,Two or three days a week,Fully Onsite,8,9,4,7,Sometimes,4,5,5,FALSE
Agree,Yes,6-Oct,Senior Developer,Fully Remote,four to five days a week,Hybrid,9,7,8,8,Rarely,5,5,5,FALSE
Agree,Yes,1-May,Graduate Developer,Hybrid,One day a week,Fully Onsite,7,5,10,5,Usually,2,2,2,TRUE
Agree,Yes,10+,Senior Developer,Hybrid,One day a week,Hybrid,10,10,10,8,Rarely,4,3,3,TRUE
Agree,Yes,1-May,Graduate Developer,Hybrid,Two or three days a week,Fully Onsite,6,7.5,7,7,Sometimes,4,4,4,FALSE
Agree,Yes,1-May,Graduate Developer,Hybrid,One day a week,,0,30,0,0.3,Rarely,4,2,5,TRUE
